symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
MSFT,2018-08-21 00:00:00+00:00,105.98,107.35,105.85,106.92,22881861,100.5958771252,101.8962767446,100.4724815409,101.4881221195,22881861,0.0,1.0
MSFT,2018-08-22 00:00:00+00:00,107.06,107.34,105.78,105.85,18000639,101.6210096719,101.8867847766,100.4060377647,100.4724815409,18000639,0.0,1.0
MSFT,2018-08-23 00:00:00+00:00,107.56,108.18,106.87,107.15,18167723,102.0956080731,102.6841100906,101.4406622794,101.7064373841,18167723,0.0,1.0
MSFT,2018-08-24 00:00:00+00:00,108.4,108.56,107.56,107.67,17234020,102.8929333872,103.0448048756,102.0956080731,102.2000197214,17234020,0.0,1.0
MSFT,2018-08-27 00:00:00+00:00,109.6,109.64,108.51,109.27,19662331,104.0319695501,104.0699374222,102.9973450355,103.7187346053,19662331,0.0,1.0
MSFT,2018-08-28 00:00:00+00:00,110.26,110.5,109.79,109.94,19151528,104.6584394398,104.8862466724,104.2123169426,104.354696463,19151528,0.0,1.0
MSFT,2018-08-29 00:00:00+00:00,112.02,112.03,110.27,110.45,20818044,106.3290258121,106.3385177801,104.6679314078,104.8387868322,20818044,0.0,1.0
MSFT,2018-08-30 00:00:00+00:00,111.95,112.61,111.44,111.67,22798702,106.2625820359,106.8890519256,105.7784916667,105.9968069312,22798702,0.0,1.0
MSFT,2018-08-31 00:00:00+00:00,112.33,112.78,111.52,111.69,23222713,106.6232768209,107.050415382,105.8544274109,106.0157908673,23222713,0.0,1.0
MSFT,2018-09-04 00:00:00+00:00,111.71,111.96,110.22,110.85,22634641,106.0347748033,106.272074004,104.6204715677,105.2184655532,22634641,0.0,1.0
MSFT,2018-09-05 00:00:00+00:00,108.49,111.42,108.1,111.01,32872352,102.9783610994,105.7595077306,102.6081743464,105.3703370416,32872352,0.0,1.0
MSFT,2018-09-06 00:00:00+00:00,108.74,108.99,107.51,108.25,23477624,103.2156603,103.4529595006,102.048148233,102.7505538668,23477624,0.0,1.0
MSFT,2018-09-07 00:00:00+00:00,108.21,108.72,107.23,108.23,22498646,102.7125859947,103.196676364,101.7823731283,102.7315699308,22498646,0.0,1.0
MSFT,2018-09-10 00:00:00+00:00,109.38,109.64,108.36,108.84,20727906,103.8231462536,104.0699374222,102.8549655151,103.3105799803,20727906,0.0,1.0
MSFT,2018-09-11 00:00:00+00:00,111.24,111.59,108.89,108.9,24301774,105.5886523062,105.9208711871,103.3580398204,103.3675317884,24301774,0.0,1.0
MSFT,2018-09-12 00:00:00+00:00,111.71,111.85,110.51,111.43,18891064,106.0347748033,106.1676623557,104.8957386404,105.7689996987,18891064,0.0,1.0
MSFT,2018-09-13 00:00:00+00:00,112.91,113.73,112.12,112.12,26055620,107.1738109663,107.9521523443,106.4239454924,106.4239454924,26055620,0.0,1.0
MSFT,2018-09-14 00:00:00+00:00,113.37,113.73,112.44,113.36,19122349,107.6104414954,107.9521523443,106.7276884691,107.6009495274,19122349,0.0,1.0
MSFT,2018-09-17 00:00:00+00:00,112.14,113.7,111.86,113.69,20736516,106.4429294284,107.9236764403,106.1771543237,107.9141844722,20736516,0.0,1.0
MSFT,2018-09-18 00:00:00+00:00,113.21,113.7,111.72,112.19,22170934,107.458570007,107.9236764403,106.0442667714,106.4903892685,22170934,0.0,1.0
MSFT,2018-09-19 00:00:00+00:00,111.7,113.32,111.04,113.05,21728429,106.0252828353,107.5629816553,105.3988129457,107.3066985186,21728429,0.0,1.0
MSFT,2018-09-20 00:00:00+00:00,113.57,113.8,111.93,112.28,23714512,107.8002808559,108.0185961205,106.2435980999,106.5758169808,23714512,0.0,1.0
MSFT,2018-09-21 00:00:00+00:00,114.26,115.29,113.51,114.0,71229698,108.4552266496,109.4328993562,107.7433290478,108.208435481,71229698,0.0,1.0
MSFT,2018-09-24 00:00:00+00:00,114.67,114.9,112.22,113.03,27334460,108.8443973386,109.0627126032,106.5188651726,107.2877145826,27334460,0.0,1.0
MSFT,2018-09-25 00:00:00+00:00,114.45,115.1,113.75,114.8,22668014,108.6355740421,109.2525519637,107.9711362804,108.967792923,22668014,0.0,1.0
MSFT,2018-09-26 00:00:00+00:00,113.98,115.06,113.74,114.47,19352025,108.1894515449,109.2145840916,107.9616443124,108.6545579781,19352025,0.0,1.0
MSFT,2018-09-27 00:00:00+00:00,114.41,114.91,114.2,114.78,19091299,108.59760617,109.0722045712,108.3982748415,108.9488089869,19091299,0.0,1.0
MSFT,2018-09-28 00:00:00+00:00,114.37,114.57,113.68,114.19,21647811,108.5596382979,108.7494776584,107.9046925042,108.3887828735,21647811,0.0,1.0
MSFT,2018-10-01 00:00:00+00:00,115.61,115.68,114.73,114.75,18883079,109.736642333,109.8030861091,108.9013491468,108.9203330828,18883079,0.0,1.0
MSFT,2018-10-02 00:00:00+00:00,115.15,115.84,114.44,115.3,20787239,109.3000118038,109.9549575975,108.6260820741,109.4423913242,20787239,0.0,1.0
MSFT,2018-10-03 00:00:00+00:00,115.17,116.18,114.93,115.42,16648018,109.3189957399,110.2776845104,109.0911885073,109.5562949405,16648018,0.0,1.0
MSFT,2018-10-04 00:00:00+00:00,112.79,114.76,111.63,114.61,34821717,107.05990735,108.9298250509,105.9588390591,108.7874455305,34821717,0.0,1.0
MSFT,2018-10-05 00:00:00+00:00,112.13,113.17,110.64,112.63,29068859,106.4334374604,107.4206021349,105.0191342247,106.9080358616,29068859,0.0,1.0
MSFT,2018-10-08 00:00:00+00:00,110.85,112.03,109.34,111.66,29640588,105.2184655532,106.3385177801,103.7851783815,105.9873149632,29640588,0.0,1.0
MSFT,2018-10-09 00:00:00+00:00,112.26,113.08,110.8,111.14,26198594,106.5568330447,107.3351744227,105.1710057131,105.4937326259,26198594,0.0,1.0
MSFT,2018-10-10 00:00:00+00:00,106.16,111.5,105.79,111.24,61376300,100.7667325497,105.8354434748,100.4155297328,105.5886523062,61376300,0.0,1.0
